"guest_id";"room_number";"checkout_date";"checkout_status";"unpaid_amount";"disputed_amount"
"G00001";307;"2026-06-21";"Paid";0.0;0.0
"G00002";102;"2026-01-31";"Paid";0.0;0.0
"G00003";530;"2026-02-17";"Paid";0.0;0.0
"G00004";405;"2026-01-17";"Paid";0.0;0.0
"G00005";325;"2026-04-10";"Paid";0.0;0.0
"G00006";322;"2026-06-30";"Paid";0.0;0.0
"G00007";106;"2026-06-17";"Paid";0.0;0.0
"G00008";511;"2026-02-11";"Disputed";89.58;89.58
"G00009";104;"2026-01-19";"Paid";0.0;0.0
"G00010";229;"2026-05-26";"Disputed";48.14;48.14
"G00011";323;"2026-03-11";"Paid";0.0;0.0
"G00012";306;"2026-05-16";"Paid";0.0;0.0
"G00013";216;"2026-03-16";"Paid";0.0;0.0
"G00014";534;"2026-05-05";"Paid";0.0;0.0
"G00015";428;"2026-04-21";"Paid";0.0;0.0
"G00016";501;"2026-03-27";"Paid";0.0;0.0
"G00017";330;"2026-02-24";"Paid";0.0;0.0
"G00018";502;"2026-01-24";"Paid";0.0;0.0
"G00019";232;"2026-05-01";"Paid";0.0;0.0
"G00020";327;"2026-03-04";"Paid";0.0;0.0
"G00021";419;"2026-02-07";"Paid";0.0;0.0
"G00022";132;"2026-03-03";"Paid";0.0;0.0
"G00023";102;"2026-02-25";"Paid";0.0;0.0
"G00024";226;"2026-06-01";"Paid";0.0;0.0
"G00025";304;"2026-06-15";"Paid";0.0;0.0
"G00026";516;"2026-05-10";"Paid";0.0;0.0
"G00027";428;"2026-01-31";"Paid";0.0;0.0
"G00028";433;"2026-04-19";"Paid";0.0;0.0
"G00029";214;"2026-04-02";"Paid";0.0;0.0
"G00030";432;"2026-05-12";"Paid";0.0;0.0
"G00031";509;"2026-01-05";"Paid";0.0;0.0
"G00032";413;"2026-05-07";"Paid";0.0;0.0
"G00033";210;"2026-06-24";"Paid";0.0;0.0
"G00034";332;"2026-05-08";"Paid";0.0;0.0
"G00035";104;"2026-03-26";"Paid";0.0;0.0
"G00036";329;"2026-06-15";"Paid";0.0;0.0
"G00037";121;"2026-02-23";"Paid";0.0;0.0
"G00038";530;"2026-05-08";"Unpaid";41.14;0.0
"G00039";127;"2026-02-19";"Paid";0.0;0.0
"G00040";405;"2026-05-23";"Paid";0.0;0.0
"G00041";530;"2026-06-13";"Paid";0.0;0.0
"G00042";314;"2026-04-07";"Paid";0.0;0.0
"G00043";104;"2026-01-07";"Paid";0.0;0.0
"G00044";420;"2026-05-30";"Paid";0.0;0.0
"G00045";412;"2026-06-24";"Paid";0.0;0.0
"G00046";217;"2026-04-05";"Paid";0.0;0.0
"G00047";216;"2026-06-16";"Paid";0.0;0.0
"G00048";131;"2026-02-15";"Paid";0.0;0.0
"G00049";232;"2026-01-20";"Paid";0.0;0.0
"G00050";216;"2026-06-27";"Paid";0.0;0.0
"G00051";221;"2026-06-20";"Paid";0.0;0.0
"G00052";227;"2026-04-25";"Paid";0.0;0.0
