"transaction_id";"transaction_date";"guest_id";"room_number";"outlet";"charge_amount"
"FB000001";"2026-06-18";"G00001";307;"Restaurant & Bar";45.0
"FB000002";"2026-01-29";"G00002";102;"Restaurant & Bar";99.0
"FB000003";"2026-02-14";"G00003";530;"Room Service";27.0
"FB000004";"2026-04-10";"G00005";325;"Restaurant & Bar";27.0
"FB000005";"2026-02-07";"G00008";511;"Restaurant & Bar";40.0
"FB000006";"2026-02-10";"G00008";511;"Breakfast";25.0
"FB000007";"2026-02-07";"G00008";511;"Room Service";66.0
"FB000008";"2026-01-14";"G00009";104;"Restaurant & Bar";29.0
"FB000009";"2026-01-18";"G00009";104;"Room Service";48.0
"FB000010";"2026-05-26";"G00010";229;"Restaurant & Bar";64.0
"FB000011";"2026-03-10";"G00011";323;"Restaurant & Bar";19.0
"FB000012";"2026-03-09";"G00011";323;"Room Service";49.0
"FB000013";"2026-05-13";"G00012";306;"Restaurant & Bar";80.0
"FB000014";"2026-05-14";"G00012";306;"Room Service";39.0
"FB000015";"2026-03-16";"G00013";216;"Restaurant & Bar";54.0
"FB000016";"2026-02-21";"G00017";330;"Restaurant & Bar";88.0
"FB000017";"2026-03-01";"G00022";132;"Room Service";80.0
"FB000018";"2026-02-28";"G00022";132;"Restaurant & Bar";82.0
"FB000019";"2026-05-31";"G00024";226;"Breakfast";14.0
"FB000020";"2026-05-31";"G00024";226;"Room Service";82.0
"FB000021";"2026-04-18";"G00028";433;"Restaurant & Bar";51.0
"FB000022";"2026-04-19";"G00028";433;"Restaurant & Bar";39.0
"FB000023";"2026-05-10";"G00030";432;"Restaurant & Bar";54.0
"FB000024";"2026-05-11";"G00030";432;"Restaurant & Bar";43.0
"FB000025";"2026-01-03";"G00031";509;"Restaurant & Bar";38.0
"FB000026";"2026-01-02";"G00031";509;"Restaurant & Bar";62.0
"FB000027";"2026-01-01";"G00031";509;"Restaurant & Bar";102.0
"FB000028";"2026-05-05";"G00032";413;"Restaurant & Bar";84.0
"FB000029";"2026-06-24";"G00033";210;"Restaurant & Bar";111.0
