"payment_id";"guest_id";"room_number";"payment_amount";"payment_date";"payment_type"
"P000001";"G00001";307;122.47;"2026-06-21";"Card"
"P000002";"G00002";102;144.96;"2026-01-31";"Card"
"P000003";"G00003";530;66.36;"2026-02-17";"Card"
"P000004";"G00003";530;37.45;"2026-02-17";"Card"
"P000005";"G00004";405;135.14;"2026-01-11";"Cash"
"P000006";"G00005";325;96.95;"2026-04-10";"Stripe"
"P000007";"G00005";325;55.65;"2026-04-09";"Cash"
"P000008";"G00006";322;56.45;"2026-06-30";"Card"
"P000009";"G00007";106;128.6;"2026-06-17";"Stripe"
"P000010";"G00008";511;58.53;"2026-02-11";"Card"
"P000011";"G00009";104;125.0;"2026-01-19";"Stripe"
"P000012";"G00011";323;86.08;"2026-03-11";"Cash"
"P000013";"G00012";306;219.68;"2026-05-16";"Card"
"P000014";"G00013";216;58.67;"2026-03-16";"Card"
"P000015";"G00013";216;39.63;"2026-03-16";"Card"
"P000016";"G00013";216;33.62;"2026-03-15";"Cash"
"P000017";"G00014";534;38.96;"2026-04-30";"Card"
"P000018";"G00016";501;179.71;"2026-03-27";"Card"
"P000019";"G00017";330;105.6;"2026-02-24";"Card"
"P000020";"G00018";502;84.52;"2026-01-24";"Cash"
"P000021";"G00019";232;200.73;"2026-05-01";"Cash"
"P000022";"G00020";327;48.37;"2026-03-04";"Stripe"
"P000023";"G00021";419;37.32;"2026-02-06";"Stripe"
"P000024";"G00021";419;35.84;"2026-02-07";"Card"
"P000025";"G00022";132;51.26;"2026-03-03";"Card"
"P000026";"G00022";132;76.74;"2026-03-03";"Card"
"P000027";"G00022";132;52.74;"2026-03-03";"Card"
"P000028";"G00023";102;98.05;"2026-02-25";"Card"
"P000029";"G00024";226;187.09;"2026-06-01";"Stripe"
"P000030";"G00025";304;33.1;"2026-06-15";"Card"
"P000031";"G00026";516;76.13;"2026-05-10";"Card"
"P000032";"G00027";428;55.6;"2026-01-31";"Card"
"P000033";"G00028";433;99.14;"2026-04-19";"Cash"
"P000034";"G00030";432;132.22;"2026-05-12";"Stripe"
"P000035";"G00030";432;119.73;"2026-05-12";"Card"
"P000036";"G00031";509;85.91;"2026-01-05";"Card"
"P000037";"G00031";509;67.57;"2026-01-05";"Stripe"
"P000038";"G00031";509;66.55;"2026-01-05";"Card"
"P000039";"G00032";413;124.94;"2026-05-07";"Stripe"
"P000040";"G00033";210;179.89;"2026-06-24";"Card"
"P000041";"G00033";210;116.07;"2026-06-24";"Card"
"P000042";"G00034";332;147.02;"2026-05-08";"Card"
"P000043";"G00034";332;85.09;"2026-05-08";"Stripe"
"P000044";"G00035";104;228.67;"2026-03-26";"Stripe"
"P000045";"G00036";329;141.18;"2026-06-13";"Card"
"P000046";"G00036";329;92.36;"2026-06-15";"Card"
"P000047";"G00037";121;193.21;"2026-02-23";"Card"
"P000048";"G00039";127;91.15;"2026-02-19";"Card"
"P000049";"G00040";405;138.22;"2026-05-23";"Card"
"P000050";"G00041";530;342.49;"2026-06-13";"Stripe"
"P000051";"G00042";314;28.29;"2026-04-05";"Card"
"P000052";"G00043";104;123.51;"2026-01-07";"Cash"
"P000053";"G00044";420;194.05;"2026-05-30";"Card"
"P000054";"G00045";412;52.37;"2026-06-23";"Cash"
"P000055";"G00046";217;255.38;"2026-04-05";"Card"
"P000056";"G00047";216;52.25;"2026-06-16";"Stripe"
"P000057";"G00048";131;325.45;"2026-02-15";"Card"
"P000058";"G00049";232;138.44;"2026-01-17";"Stripe"
"P000059";"G00050";216;35.62;"2026-06-27";"Card"
"P000060";"G00051";221;40.24;"2026-06-20";"Card"
"P000061";"G00052";227;132.74;"2026-04-25";"Stripe"
